id,response_text,Lack of Training / Knowledge,Ethics and Privacy,Implementation / Technology,Resources (Time / Infrastructure),Economic Cost,Resistance to Change / Fear,Others / Non-specific
0,Formación. Ética. Edad del profesional,1,1,0,0,0,0,0
1,Formación ,1,0,0,0,0,0,0
2,Poca formación ,1,0,0,0,0,0,0
3,"Falta de formación, implementación y ética.",1,1,1,0,0,0,0
4,"Ética, perfeccionamento da IA, criterio profesional, responsabilidade asistencial",0,1,1,0,0,0,0
5,Dúbidas na ética ,0,1,0,0,0,0,0
6,"Reticencia por parte los profesionales, miedo al error.",0,0,0,0,0,1,0
7,Contratos eventuales que imposibilita el seguimiento ,0,0,0,0,0,0,1
8,Falta de formacion,1,0,0,0,0,0,0
9,A falta de formación e o desinterese de moitos profesionais en atención primaria por continuar formándose.,1,0,0,0,0,1,0
10,"Lexislación clara, límites e ética, formación e integración das IAs no traballo (non esperar ao último momento para formarnos e implementala)",1,1,1,0,0,0,0
11,Sobre todo a infraestructura para que a sua implementación sexa realmente eficaz.,0,0,1,1,0,0,0
12,Falta de formación,1,0,0,0,0,0,0
13,Falta de formación e implementacion ,1,0,1,0,0,0,0
14,"Falta de desenvolvemento, falta de formación, falta dun marco lexislativo actualizado",1,0,1,0,0,0,0
15,"Falta formación, económico, implementación por parte das administraciósn ",1,0,1,0,1,0,0
16,Todas as mencionadas,1,1,1,1,1,1,0
17,Formación ,1,0,0,0,0,0,0
18,FALTA DE FORMACION,1,0,0,0,0,0,0
19,Hai moitos,0,0,0,0,0,0,1
21,Aspectos éticos e adaptación as necesidades do posto de traballo ,0,1,1,0,0,0,0
22,Falta de formación e recursos,1,0,0,1,0,0,0
23,A falta de información e formación ,1,0,0,0,0,0,0
24,"Infraestructura, podemos ter unha IA pagadda por nos, pero o loxico e que este integrada no noso sistema",0,0,1,1,0,0,0
25,Falta de información ,1,0,0,0,0,0,0
26,"Barreira dixital dos profesionais sanitarios, recticencia dos mesmos a empregala.",0,0,0,0,0,1,0
27,El no saber usar las IAs por parte de los profesionales sanitarios.,1,0,0,0,0,0,0
28,Formación y el coste,1,0,0,0,1,0,0
29,Falta de formación e marco ético,1,1,0,0,0,0,0
30,Falta de formación,1,0,0,0,0,0,0
31,Falta de formación ,1,0,0,0,0,0,0
32,Desembolso económico y formación ,1,0,0,0,1,0,0
33,Formación e actualización dos profesionais,1,0,0,0,0,0,0
